concept_name,source_concept_id,source_vocabulary_id,source_domain_id,source_concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,target_concept_id,relationship_id,reverese_relationship_id,relationship_valid_start_date,relationship_end_date,invalid_reason_cr
pO2|Blood|Blood Gas,2000001017,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50821,1970-01-01,2099-12-31,,3027315,Maps to,Mapped from,1970-01-01,2099-12-31,
"Potassium, Whole Blood|Blood|Blood Gas",2000001018,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50822,1970-01-01,2099-12-31,,3005456,Maps to,Mapped from,1970-01-01,2099-12-31,
Required O2|Blood|Blood Gas,2000001019,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50823,1970-01-01,2099-12-31,,3020716,Maps to,Mapped from,1970-01-01,2099-12-31,
"Sodium, Whole Blood|Blood|Blood Gas",2000001020,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50824,1970-01-01,2099-12-31,,3000285,Maps to,Mapped from,1970-01-01,2099-12-31,
Temperature|Blood|Blood Gas,2000001021,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50825,1970-01-01,2099-12-31,,3020891,Maps to,Mapped from,1970-01-01,2099-12-31,
Tidal Volume|Blood|Blood Gas,2000001022,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50826,1970-01-01,2099-12-31,,3012410,Maps to,Mapped from,1970-01-01,2099-12-31,
Ventilation Rate|Blood|Blood Gas,2000001023,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50827,1970-01-01,2099-12-31,,3024171,Maps to,Mapped from,1970-01-01,2099-12-31,
Ventilator|Blood|Blood Gas,2000001024,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50828,1970-01-01,2099-12-31,,3004921,Maps to,Mapped from,1970-01-01,2099-12-31,
pH|Other Body Fluid|Blood Gas,2000001025,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50831,1970-01-01,2099-12-31,,3018672,Maps to,Mapped from,1970-01-01,2099-12-31,
"Albumin, Ascites|Ascites|Chemistry",2000001026,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50835,1970-01-01,2099-12-31,,3026692,Maps to,Mapped from,1970-01-01,2099-12-31,
"Amylase, Ascites|Ascites|Chemistry",2000001027,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50836,1970-01-01,2099-12-31,,3008691,Maps to,Mapped from,1970-01-01,2099-12-31,
"Creatinine, Ascites|Ascites|Chemistry",2000001028,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50841,1970-01-01,2099-12-31,,3016647,Maps to,Mapped from,1970-01-01,2099-12-31,
"Lactate Dehydrogenase, Ascites|Ascites|Chemistry",2000001029,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50843,1970-01-01,2099-12-31,,40763080,Maps to,Mapped from,1970-01-01,2099-12-31,
"Total Protein, Ascites|Ascites|Chemistry",2000001030,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50849,1970-01-01,2099-12-31,,3002331,Maps to,Mapped from,1970-01-01,2099-12-31,
25-OH Vitamin D|Blood|Chemistry,2000001031,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50853,1970-01-01,2099-12-31,,3020149,Maps to,Mapped from,1970-01-01,2099-12-31,
"Acid Phosphatase, Non-Prostatic|Blood|Chemistry",2000001032,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50859,1970-01-01,2099-12-31,,3009383,Maps to,Mapped from,1970-01-01,2099-12-31,
"AFP, Maternal Screen|Blood|Chemistry",2000001033,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50860,1970-01-01,2099-12-31,,3009306,Maps to,Mapped from,1970-01-01,2099-12-31,
Amikacin|Blood|Chemistry,2000001034,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50865,1970-01-01,2099-12-31,,3036152,Maps to,Mapped from,1970-01-01,2099-12-31,
Barbiturate Screen|Blood|Chemistry,2000001035,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50879,1970-01-01,2099-12-31,,3003132,Maps to,Mapped from,1970-01-01,2099-12-31,
Benzodiazepine Screen|Blood|Chemistry,2000001036,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50880,1970-01-01,2099-12-31,,3031951,Maps to,Mapped from,1970-01-01,2099-12-31,
"Cholesterol, LDL, Measured|Blood|Chemistry",2000001037,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50906,1970-01-01,2099-12-31,,3001308,Maps to,Mapped from,1970-01-01,2099-12-31,
CK-MB Index|Blood|Chemistry,2000001038,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50908,1970-01-01,2099-12-31,,3016311,Maps to,Mapped from,1970-01-01,2099-12-31,
D-Dimer|Blood|Chemistry,2000001039,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50915,1970-01-01,2099-12-31,,3051714,Maps to,Mapped from,1970-01-01,2099-12-31,
Estimated GFR (MDRD equation)|Blood|Chemistry,2000001040,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50920,1970-01-01,2099-12-31,,46236952,Maps to,Mapped from,1970-01-01,2099-12-31,
Glucose|Blood|Chemistry,2000001041,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50931,1970-01-01,2099-12-31,,3000483,Maps to,Mapped from,1970-01-01,2099-12-31,
"HCG, Maternal Screen|Blood|Chemistry",2000001042,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50936,1970-01-01,2099-12-31,,3038136,Maps to,Mapped from,1970-01-01,2099-12-31,
Hepatitis A Virus IgM Antibody|Blood|Chemistry,2000001043,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50938,1970-01-01,2099-12-31,,3011922,Maps to,Mapped from,1970-01-01,2099-12-31,
"Hepatitis B Core Antibody, IgM|Blood|Chemistry",2000001044,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50939,1970-01-01,2099-12-31,,3018806,Maps to,Mapped from,1970-01-01,2099-12-31,
"Iron Binding Capacity, Total|Blood|Chemistry",2000001045,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50953,1970-01-01,2099-12-31,,3021044,Maps to,Mapped from,1970-01-01,2099-12-31,
Lipase|Blood|Chemistry,2000001046,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50956,1970-01-01,2099-12-31,,3004905,Maps to,Mapped from,1970-01-01,2099-12-31,
Macro Prolactin|Blood|Chemistry,2000001047,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50959,1970-01-01,2099-12-31,,44816844,Maps to,Mapped from,1970-01-01,2099-12-31,
Methotrexate|Blood|Chemistry,2000001048,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50961,1970-01-01,2099-12-31,,3017115,Maps to,Mapped from,1970-01-01,2099-12-31,
NTproBNP|Blood|Chemistry,2000001049,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50963,1970-01-01,2099-12-31,,3029187,Maps to,Mapped from,1970-01-01,2099-12-31,
"Osmolality, Measured|Blood|Chemistry",2000001050,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50964,1970-01-01,2099-12-31,,3008295,Maps to,Mapped from,1970-01-01,2099-12-31,
Protein Electrophoresis|Blood|Chemistry,2000001051,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50975,1970-01-01,2099-12-31,,3004588,Maps to,Mapped from,1970-01-01,2099-12-31,
tacroFK|Blood|Chemistry,2000001052,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50986,1970-01-01,2099-12-31,,3026250,Maps to,Mapped from,1970-01-01,2099-12-31,
Tricyclic Antidepressant Screen|Blood|Chemistry,2000001053,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50999,1970-01-01,2099-12-31,,3025478,Maps to,Mapped from,1970-01-01,2099-12-31,
"UE3, Maternal Screen|Blood|Chemistry",2000001054,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51004,1970-01-01,2099-12-31,,3025455,Maps to,Mapped from,1970-01-01,2099-12-31,
"Albumin, Joint Fluid|Joint Fluid|Chemistry",2000001055,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51019,1970-01-01,2099-12-31,,3025380,Maps to,Mapped from,1970-01-01,2099-12-31,
FetalFN|Other Body Fluid|Chemistry,2000001056,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51033,1970-01-01,2099-12-31,,3036848,Maps to,Mapped from,1970-01-01,2099-12-31,
"Albumin, Pleural|Pleural|Chemistry",2000001057,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51046,1970-01-01,2099-12-31,,3011544,Maps to,Mapped from,1970-01-01,2099-12-31,
"Cholesterol, Pleural|Pleural|Chemistry",2000001058,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51051,1970-01-01,2099-12-31,,3033364,Maps to,Mapped from,1970-01-01,2099-12-31,
"Glucose, Pleural|Pleural|Chemistry",2000001059,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51053,1970-01-01,2099-12-31,,3003403,Maps to,Mapped from,1970-01-01,2099-12-31,
"Lipase, Pleural|Pleural|Chemistry",2000001060,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51055,1970-01-01,2099-12-31,,3048752,Maps to,Mapped from,1970-01-01,2099-12-31,
"Total Protein, Pleural|Pleural|Chemistry",2000001061,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51059,1970-01-01,2099-12-31,,3003434,Maps to,Mapped from,1970-01-01,2099-12-31,
24 hr Creatinine|Urine|Chemistry,2000001062,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51067,1970-01-01,2099-12-31,,3049226,Maps to,Mapped from,1970-01-01,2099-12-31,
"Albumin, Urine|Urine|Chemistry",2000001063,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51069,1970-01-01,2099-12-31,,3012516,Maps to,Mapped from,1970-01-01,2099-12-31,
"Amphetamine Screen, Urine|Urine|Chemistry",2000001064,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51071,1970-01-01,2099-12-31,,3027944,Maps to,Mapped from,1970-01-01,2099-12-31,
"Benzodiazepine Screen, Urine|Urine|Chemistry",2000001065,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51075,1970-01-01,2099-12-31,,3000764,Maps to,Mapped from,1970-01-01,2099-12-31,
"Cocaine, Urine|Urine|Chemistry",2000001066,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51079,1970-01-01,2099-12-31,,3016879,Maps to,Mapped from,1970-01-01,2099-12-31,
"Creatinine, Serum|Urine|Chemistry",2000001067,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51081,1970-01-01,2099-12-31,,3016723,Maps to,Mapped from,1970-01-01,2099-12-31,
"HCG, Urine, Qualitative|Urine|Chemistry",2000001068,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51085,1970-01-01,2099-12-31,,3018954,Maps to,Mapped from,1970-01-01,2099-12-31,
Length of Urine Collection|Urine|Chemistry,2000001069,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51087,1970-01-01,2099-12-31,,3016750,Maps to,Mapped from,1970-01-01,2099-12-31,
"Methadone, Urine|Urine|Chemistry",2000001070,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51090,1970-01-01,2099-12-31,,3036180,Maps to,Mapped from,1970-01-01,2099-12-31,
"Opiate Screen, Urine|Urine|Chemistry",2000001071,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51092,1970-01-01,2099-12-31,,3027008,Maps to,Mapped from,1970-01-01,2099-12-31,
"Osmolality, Urine|Urine|Chemistry",2000001072,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51093,1970-01-01,2099-12-31,,3026782,Maps to,Mapped from,1970-01-01,2099-12-31,
pH|Urine|Chemistry,2000001073,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51094,1970-01-01,2099-12-31,,3015736,Maps to,Mapped from,1970-01-01,2099-12-31,
"Urea Nitrogen, Urine|Urine|Chemistry",2000001074,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51104,1970-01-01,2099-12-31,,3011965,Maps to,Mapped from,1970-01-01,2099-12-31,
Urine Creatinine|Urine|Chemistry,2000001075,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51106,1970-01-01,2099-12-31,,3017250,Maps to,Mapped from,1970-01-01,2099-12-31,
Bands|Ascites|Hematology,2000001076,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51111,1970-01-01,2099-12-31,,3017161,Maps to,Mapped from,1970-01-01,2099-12-31,
Blasts|Ascites|Hematology,2000001077,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51113,1970-01-01,2099-12-31,,3046003,Maps to,Mapped from,1970-01-01,2099-12-31,
Eosinophils|Ascites|Hematology,2000001078,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51114,1970-01-01,2099-12-31,,3019298,Maps to,Mapped from,1970-01-01,2099-12-31,
Macrophage|Ascites|Hematology,2000001079,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51117,1970-01-01,2099-12-31,,3041635,Maps to,Mapped from,1970-01-01,2099-12-31,
Metamyelocytes|Ascites|Hematology,2000001080,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51119,1970-01-01,2099-12-31,,3024936,Maps to,Mapped from,1970-01-01,2099-12-31,
Monocytes|Ascites|Hematology,2000001081,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51120,1970-01-01,2099-12-31,,3033483,Maps to,Mapped from,1970-01-01,2099-12-31,
Myelocytes|Ascites|Hematology,2000001082,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51121,1970-01-01,2099-12-31,,3024394,Maps to,Mapped from,1970-01-01,2099-12-31,
Nucleated RBC|Ascites|Hematology,2000001083,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51122,1970-01-01,2099-12-31,,42868645,Maps to,Mapped from,1970-01-01,2099-12-31,
Other|Ascites|Hematology,2000001084,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51123,1970-01-01,2099-12-31,,3008855,Maps to,Mapped from,1970-01-01,2099-12-31,
"RBC, Ascites|Ascites|Hematology",2000001085,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51127,1970-01-01,2099-12-31,,3009613,Maps to,Mapped from,1970-01-01,2099-12-31,
Absolute Lymphocyte Count|Blood|Hematology,2000001086,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51133,1970-01-01,2099-12-31,,3019198,Maps to,Mapped from,1970-01-01,2099-12-31,
ADP|Blood|Hematology,2000001087,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51135,1970-01-01,2099-12-31,,3014543,Maps to,Mapped from,1970-01-01,2099-12-31,
Arachadonic Acid|Blood|Hematology,2000001088,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51142,1970-01-01,2099-12-31,,3008541,Maps to,Mapped from,1970-01-01,2099-12-31,
CD103|Blood|Hematology,2000001089,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51153,1970-01-01,2099-12-31,,3018791,Maps to,Mapped from,1970-01-01,2099-12-31,
CD138|Blood|Hematology,2000001090,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51157,1970-01-01,2099-12-31,,3031831,Maps to,Mapped from,1970-01-01,2099-12-31,
CD16|Blood|Hematology,2000001091,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51161,1970-01-01,2099-12-31,,3010201,Maps to,Mapped from,1970-01-01,2099-12-31,
CD16/56 Absolute Count|Blood|Hematology,2000001092,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51162,1970-01-01,2099-12-31,,3020358,Maps to,Mapped from,1970-01-01,2099-12-31,
CD16/56%|Blood|Hematology,2000001093,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51163,1970-01-01,2099-12-31,,3015455,Maps to,Mapped from,1970-01-01,2099-12-31,
CD19 %|Blood|Hematology,2000001094,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51165,1970-01-01,2099-12-31,,3016228,Maps to,Mapped from,1970-01-01,2099-12-31,
CD19 Absolute Count|Blood|Hematology,2000001095,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51166,1970-01-01,2099-12-31,,3010503,Maps to,Mapped from,1970-01-01,2099-12-31,
CD20|Blood|Hematology,2000001096,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51168,1970-01-01,2099-12-31,,3022878,Maps to,Mapped from,1970-01-01,2099-12-31,
CD20 %|Blood|Hematology,2000001097,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51169,1970-01-01,2099-12-31,,3022878,Maps to,Mapped from,1970-01-01,2099-12-31,
CD20 Absolute Count|Blood|Hematology,2000001098,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51170,1970-01-01,2099-12-31,,3018071,Maps to,Mapped from,1970-01-01,2099-12-31,
CD22|Blood|Hematology,2000001099,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51171,1970-01-01,2099-12-31,,3022703,Maps to,Mapped from,1970-01-01,2099-12-31,
CD25|Blood|Hematology,2000001100,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51173,1970-01-01,2099-12-31,,3011497,Maps to,Mapped from,1970-01-01,2099-12-31,
CD3 %|Blood|Hematology,2000001101,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51174,1970-01-01,2099-12-31,,3022533,Maps to,Mapped from,1970-01-01,2099-12-31,
CD3 Absolute Count|Blood|Hematology,2000001102,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51175,1970-01-01,2099-12-31,,3011412,Maps to,Mapped from,1970-01-01,2099-12-31,
CD38|Blood|Hematology,2000001103,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51179,1970-01-01,2099-12-31,,3019183,Maps to,Mapped from,1970-01-01,2099-12-31,
CD4/CD8 Ratio|Blood|Hematology,2000001104,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51181,1970-01-01,2099-12-31,,40757349,Maps to,Mapped from,1970-01-01,2099-12-31,
CD5 %|Blood|Hematology,2000001105,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51185,1970-01-01,2099-12-31,,3020383,Maps to,Mapped from,1970-01-01,2099-12-31,
CD5 Absolute Count|Blood|Hematology,2000001106,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51186,1970-01-01,2099-12-31,,3018627,Maps to,Mapped from,1970-01-01,2099-12-31,
CD55|Blood|Hematology,2000001107,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51187,1970-01-01,2099-12-31,,3007166,Maps to,Mapped from,1970-01-01,2099-12-31,
CD56|Blood|Hematology,2000001108,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51188,1970-01-01,2099-12-31,,3005460,Maps to,Mapped from,1970-01-01,2099-12-31,
CD57|Blood|Hematology,2000001109,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51189,1970-01-01,2099-12-31,,3004291,Maps to,Mapped from,1970-01-01,2099-12-31,
CD59|Blood|Hematology,2000001110,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51190,1970-01-01,2099-12-31,,3043394,Maps to,Mapped from,1970-01-01,2099-12-31,
CD71|Blood|Hematology,2000001111,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51193,1970-01-01,2099-12-31,,3002153,Maps to,Mapped from,1970-01-01,2099-12-31,
Collagen|Blood|Hematology,2000001112,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51195,1970-01-01,2099-12-31,,3007451,Maps to,Mapped from,1970-01-01,2099-12-31,
D-Dimer|Blood|Hematology,2000001113,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51196,1970-01-01,2099-12-31,,3051714,Maps to,Mapped from,1970-01-01,2099-12-31,
Epinepherine|Blood|Hematology,2000001114,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51201,1970-01-01,2099-12-31,,3003882,Maps to,Mapped from,1970-01-01,2099-12-31,
"Fibrinogen, Functional|Blood|Hematology",2000001115,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51214,1970-01-01,2099-12-31,,3016407,Maps to,Mapped from,1970-01-01,2099-12-31,
FMC-7|Blood|Hematology,2000001116,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51215,1970-01-01,2099-12-31,,3003047,Maps to,Mapped from,1970-01-01,2099-12-31,
Granulocyte Count|Blood|Hematology,2000001117,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51218,1970-01-01,2099-12-31,,3035715,Maps to,Mapped from,1970-01-01,2099-12-31,
Inhibitor Screen|Blood|Hematology,2000001118,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51235,1970-01-01,2099-12-31,,3031335,Maps to,Mapped from,1970-01-01,2099-12-31,
Inpatient Hematology/Oncology Smear|Blood|Hematology,2000001119,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51236,1970-01-01,2099-12-31,,3018760,Maps to,Mapped from,1970-01-01,2099-12-31,
"Lymphocytes, Percent|Blood|Hematology",2000001120,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51245,1970-01-01,2099-12-31,,3002030,Maps to,Mapped from,1970-01-01,2099-12-31,
Metamyelocytes|Blood|Hematology,2000001121,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51251,1970-01-01,2099-12-31,,3002179,Maps to,Mapped from,1970-01-01,2099-12-31,
Myelocytes|Blood|Hematology,2000001122,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51255,1970-01-01,2099-12-31,,3017181,Maps to,Mapped from,1970-01-01,2099-12-31,
Red Blood Cell Fragments|Blood|Hematology,2000001123,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51278,1970-01-01,2099-12-31,,3019880,Maps to,Mapped from,1970-01-01,2099-12-31,
Reptilase Time Control|Blood|Hematology,2000001124,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51281,1970-01-01,2099-12-31,,3011893,Maps to,Mapped from,1970-01-01,2099-12-31,
"Reticulocyte Count, Absolute|Blood|Hematology",2000001125,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51282,1970-01-01,2099-12-31,,3023520,Maps to,Mapped from,1970-01-01,2099-12-31,
"Reticulocyte Count, Automated|Blood|Hematology",2000001126,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51283,1970-01-01,2099-12-31,,3007124,Maps to,Mapped from,1970-01-01,2099-12-31,
"Reticulocyte, Cellular Hemoglobin|Blood|Hematology",2000001127,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51285,1970-01-01,2099-12-31,,46234968,Maps to,Mapped from,1970-01-01,2099-12-31,
Ristocetin|Blood|Hematology,2000001128,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51286,1970-01-01,2099-12-31,,3018367,Maps to,Mapped from,1970-01-01,2099-12-31,
TdT|Blood|Hematology,2000001129,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51295,1970-01-01,2099-12-31,,3039644,Maps to,Mapped from,1970-01-01,2099-12-31,
WBC Count|Blood|Hematology,2000001130,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51300,1970-01-01,2099-12-31,,3000905,Maps to,Mapped from,1970-01-01,2099-12-31,
CD103|Bone Marrow|Hematology,2000001131,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51304,1970-01-01,2099-12-31,,3029695,Maps to,Mapped from,1970-01-01,2099-12-31,
CD138|Bone Marrow|Hematology,2000001132,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51308,1970-01-01,2099-12-31,,3031244,Maps to,Mapped from,1970-01-01,2099-12-31,
CD16|Bone Marrow|Hematology,2000001133,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51311,1970-01-01,2099-12-31,,3000109,Maps to,Mapped from,1970-01-01,2099-12-31,
CD20|Bone Marrow|Hematology,2000001134,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51315,1970-01-01,2099-12-31,,3013075,Maps to,Mapped from,1970-01-01,2099-12-31,
CD22|Bone Marrow|Hematology,2000001135,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51316,1970-01-01,2099-12-31,,3027365,Maps to,Mapped from,1970-01-01,2099-12-31,
CD25|Bone Marrow|Hematology,2000001136,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51318,1970-01-01,2099-12-31,,3012205,Maps to,Mapped from,1970-01-01,2099-12-31,
CD34|Bone Marrow|Hematology,2000001137,mimiciv_meas_lab_loinc,Measurement,Lab Test,,51321,1970-01-01,2099-12-31,,40760512,Maps to,Mapped from,1970-01-01,2099-12-31,
