concept_name,source_concept_id,source_vocabulary_id,source_domain_id,source_concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,target_concept_id,relationship_id,reverse_relationship_id,relationship_valid_start_date,relationship_end_date,invalid_reason_cr
"Sodium, Whole Blood|Blood|Blood Gas",2000051022,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50824,1970-01-01,2099-12-31,,3000285,Maps to,Mapped from,1970-01-01,2099-12-31,
Temperature|Blood|Blood Gas,2000051023,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50825,1970-01-01,2099-12-31,,3020891,Maps to,Mapped from,1970-01-01,2099-12-31,
Tidal Volume|Blood|Blood Gas,2000051024,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50826,1970-01-01,2099-12-31,,3012410,Maps to,Mapped from,1970-01-01,2099-12-31,
Ventilation Rate|Blood|Blood Gas,2000051025,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50827,1970-01-01,2099-12-31,,21492234,Maps to,Mapped from,1970-01-01,2099-12-31,
Ventilator|Blood|Blood Gas,2000051026,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50828,1970-01-01,2099-12-31,,3004921,Maps to,Mapped from,1970-01-01,2099-12-31,
"pCO2, Body Fluid|Other Body Fluid|Blood Gas",2000051027,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50830,1970-01-01,2099-12-31,,3027480,Maps to,Mapped from,1970-01-01,2099-12-31,
pH|Other Body Fluid|Blood Gas,2000051028,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50831,1970-01-01,2099-12-31,,3018672,Maps to,Mapped from,1970-01-01,2099-12-31,
"pO2, Body Fluid|Other Body Fluid|Blood Gas",2000051029,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50832,1970-01-01,2099-12-31,,3010251,Maps to,Mapped from,1970-01-01,2099-12-31,
Potassium|Other Body Fluid|Blood Gas,2000051030,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50833,1970-01-01,2099-12-31,,3036243,Maps to,Mapped from,1970-01-01,2099-12-31,
"Sodium, Body Fluid|Other Body Fluid|Blood Gas",2000051031,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50834,1970-01-01,2099-12-31,,3022810,Maps to,Mapped from,1970-01-01,2099-12-31,
"Albumin, Ascites|Ascites|Chemistry",2000051032,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50835,1970-01-01,2099-12-31,,3026692,Maps to,Mapped from,1970-01-01,2099-12-31,
"Amylase, Ascites|Ascites|Chemistry",2000051033,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50836,1970-01-01,2099-12-31,,3008691,Maps to,Mapped from,1970-01-01,2099-12-31,
"Bicarbonate, Ascites|Ascites|Chemistry",2000051034,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50837,1970-01-01,2099-12-31,,40757491,Maps to,Mapped from,1970-01-01,2099-12-31,
"Bilirubin, Total, Ascites|Ascites|Chemistry",2000051035,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50838,1970-01-01,2099-12-31,,3011004,Maps to,Mapped from,1970-01-01,2099-12-31,
"Chloride, Ascites|Ascites|Chemistry",2000051036,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50839,1970-01-01,2099-12-31,,3043156,Maps to,Mapped from,1970-01-01,2099-12-31,
"Cholesterol, Ascites|Ascites|Chemistry",2000051037,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50840,1970-01-01,2099-12-31,,3002651,Maps to,Mapped from,1970-01-01,2099-12-31,
"Creatinine, Ascites|Ascites|Chemistry",2000051038,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50841,1970-01-01,2099-12-31,,3016647,Maps to,Mapped from,1970-01-01,2099-12-31,
"Glucose, Ascites|Ascites|Chemistry",2000051039,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50842,1970-01-01,2099-12-31,,3002240,Maps to,Mapped from,1970-01-01,2099-12-31,
"Lactate Dehydrogenase, Ascites|Ascites|Chemistry",2000051040,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50843,1970-01-01,2099-12-31,,3008581,Maps to,Mapped from,1970-01-01,2099-12-31,
"Lipase, Ascites|Ascites|Chemistry",2000051041,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50844,1970-01-01,2099-12-31,,3045996,Maps to,Mapped from,1970-01-01,2099-12-31,
"Osmolality, Ascites|Ascites|Chemistry",2000051042,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50846,1970-01-01,2099-12-31,,3016937,Maps to,Mapped from,1970-01-01,2099-12-31,
"Potassium, Ascites|Ascites|Chemistry",2000051043,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50847,1970-01-01,2099-12-31,,3029821,Maps to,Mapped from,1970-01-01,2099-12-31,
"Sodium, Ascites|Ascites|Chemistry",2000051044,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50848,1970-01-01,2099-12-31,,3033042,Maps to,Mapped from,1970-01-01,2099-12-31,
"Total Protein, Ascites|Ascites|Chemistry",2000051045,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50849,1970-01-01,2099-12-31,,3002331,Maps to,Mapped from,1970-01-01,2099-12-31,
"Triglycerides, Ascites|Ascites|Chemistry",2000051046,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50850,1970-01-01,2099-12-31,,3023386,Maps to,Mapped from,1970-01-01,2099-12-31,
"Urea Nitrogen, Ascites|Ascites|Chemistry",2000051047,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50851,1970-01-01,2099-12-31,,3006866,Maps to,Mapped from,1970-01-01,2099-12-31,
% Hemoglobin A1c|Blood|Chemistry,2000051048,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50852,1970-01-01,2099-12-31,,3004410,Maps to,Mapped from,1970-01-01,2099-12-31,
25-OH Vitamin D|Blood|Chemistry,2000051049,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50853,1970-01-01,2099-12-31,,3020149,Maps to,Mapped from,1970-01-01,2099-12-31,
Absolute A1c|Blood|Chemistry,2000051050,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50854,1970-01-01,2099-12-31,,3034639,Maps to,Mapped from,1970-01-01,2099-12-31,
Absolute Hemoglobin|Blood|Chemistry,2000051051,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50855,1970-01-01,2099-12-31,,3000963,Maps to,Mapped from,1970-01-01,2099-12-31,
Acetaminophen|Blood|Chemistry,2000051052,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50856,1970-01-01,2099-12-31,,3002617,Maps to,Mapped from,1970-01-01,2099-12-31,
Acetone|Blood|Chemistry,2000051053,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50857,1970-01-01,2099-12-31,,3022859,Maps to,Mapped from,1970-01-01,2099-12-31,
Acid Phosphatase|Blood|Chemistry,2000051054,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50858,1970-01-01,2099-12-31,,3020233,Maps to,Mapped from,1970-01-01,2099-12-31,
"Acid Phosphatase, Non-Prostatic|Blood|Chemistry",2000051055,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50859,1970-01-01,2099-12-31,,3009383,Maps to,Mapped from,1970-01-01,2099-12-31,
"AFP, Maternal Screen|Blood|Chemistry",2000051056,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50860,1970-01-01,2099-12-31,,3009306,Maps to,Mapped from,1970-01-01,2099-12-31,
Alanine Aminotransferase (ALT)|Blood|Chemistry,2000051057,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50861,1970-01-01,2099-12-31,,3006923,Maps to,Mapped from,1970-01-01,2099-12-31,
Albumin|Blood|Chemistry,2000051058,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50862,1970-01-01,2099-12-31,,3024561,Maps to,Mapped from,1970-01-01,2099-12-31,
Alkaline Phosphatase|Blood|Chemistry,2000051059,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50863,1970-01-01,2099-12-31,,3035995,Maps to,Mapped from,1970-01-01,2099-12-31,
Alpha-Fetoprotein|Blood|Chemistry,2000051060,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50864,1970-01-01,2099-12-31,,3009306,Maps to,Mapped from,1970-01-01,2099-12-31,
Amikacin|Blood|Chemistry,2000051061,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50865,1970-01-01,2099-12-31,,3036152,Maps to,Mapped from,1970-01-01,2099-12-31,
Ammonia|Blood|Chemistry,2000051062,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50866,1970-01-01,2099-12-31,,3011958,Maps to,Mapped from,1970-01-01,2099-12-31,
Amylase|Blood|Chemistry,2000051063,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50867,1970-01-01,2099-12-31,,3016771,Maps to,Mapped from,1970-01-01,2099-12-31,
Anion Gap|Blood|Chemistry,2000051064,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50868,1970-01-01,2099-12-31,,3037278,Maps to,Mapped from,1970-01-01,2099-12-31,
Anti-DGP (IgA/IgG)|Blood|Chemistry,2000051065,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50869,1970-01-01,2099-12-31,,40766151,Maps to,Mapped from,1970-01-01,2099-12-31,
"Anti-Gliadin Antibody, IgA|Blood|Chemistry",2000051066,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50870,1970-01-01,2099-12-31,,40761803,Maps to,Mapped from,1970-01-01,2099-12-31,
Anti-Mitochondrial Antibody|Blood|Chemistry,2000051067,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50871,1970-01-01,2099-12-31,,3005277,Maps to,Mapped from,1970-01-01,2099-12-31,
Anti-Neutrophil Cytoplasmic Antibody|Blood|Chemistry,2000051068,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50872,1970-01-01,2099-12-31,,3009628,Maps to,Mapped from,1970-01-01,2099-12-31,
Anti-Nuclear Antibody|Blood|Chemistry,2000051069,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50873,1970-01-01,2099-12-31,,3004616,Maps to,Mapped from,1970-01-01,2099-12-31,
"Anti-Nuclear Antibody, Titer|Blood|Chemistry",2000051070,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50874,1970-01-01,2099-12-31,,3002971,Maps to,Mapped from,1970-01-01,2099-12-31,
Anti-Parietal Cell Antibody|Blood|Chemistry,2000051071,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50875,1970-01-01,2099-12-31,,3018885,Maps to,Mapped from,1970-01-01,2099-12-31,
Anti-Smooth Muscle Antibody|Blood|Chemistry,2000051072,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50876,1970-01-01,2099-12-31,,3005932,Maps to,Mapped from,1970-01-01,2099-12-31,
Anti-Thyroglobulin Antibodies|Blood|Chemistry,2000051073,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50877,1970-01-01,2099-12-31,,3025547,Maps to,Mapped from,1970-01-01,2099-12-31,
Asparate Aminotransferase (AST)|Blood|Chemistry,2000051074,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50878,1970-01-01,2099-12-31,,3013721,Maps to,Mapped from,1970-01-01,2099-12-31,
Barbiturate Screen|Blood|Chemistry,2000051075,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50879,1970-01-01,2099-12-31,,3003132,Maps to,Mapped from,1970-01-01,2099-12-31,
Benzodiazepine Screen|Blood|Chemistry,2000051076,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50880,1970-01-01,2099-12-31,,3031951,Maps to,Mapped from,1970-01-01,2099-12-31,
Beta-2 Microglobulin|Blood|Chemistry,2000051077,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50881,1970-01-01,2099-12-31,,3013201,Maps to,Mapped from,1970-01-01,2099-12-31,
Bicarbonate|Blood|Chemistry,2000051078,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50882,1970-01-01,2099-12-31,,3016293,Maps to,Mapped from,1970-01-01,2099-12-31,
"Bilirubin, Direct|Blood|Chemistry",2000051079,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50883,1970-01-01,2099-12-31,,3027597,Maps to,Mapped from,1970-01-01,2099-12-31,
"Bilirubin, Indirect|Blood|Chemistry",2000051080,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50884,1970-01-01,2099-12-31,,3007359,Maps to,Mapped from,1970-01-01,2099-12-31,
"Bilirubin, Total|Blood|Chemistry",2000051081,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50885,1970-01-01,2099-12-31,,3024128,Maps to,Mapped from,1970-01-01,2099-12-31,
C-Reactive Protein|Blood|Chemistry,2000051082,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50889,1970-01-01,2099-12-31,,3020460,Maps to,Mapped from,1970-01-01,2099-12-31,
C3|Blood|Chemistry,2000051083,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50890,1970-01-01,2099-12-31,,3000620,Maps to,Mapped from,1970-01-01,2099-12-31,
C4|Blood|Chemistry,2000051084,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50891,1970-01-01,2099-12-31,,3017766,Maps to,Mapped from,1970-01-01,2099-12-31,
CA-125|Blood|Chemistry,2000051085,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50892,1970-01-01,2099-12-31,,3037551,Maps to,Mapped from,1970-01-01,2099-12-31,
"Calcium, Total|Blood|Chemistry",2000051086,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50893,1970-01-01,2099-12-31,,3006906,Maps to,Mapped from,1970-01-01,2099-12-31,
Calculated Free Testosterone|Blood|Chemistry,2000051087,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50894,1970-01-01,2099-12-31,,36032269,Maps to,Mapped from,1970-01-01,2099-12-31,
Calculated TBG|Blood|Chemistry,2000051088,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50895,1970-01-01,2099-12-31,,3017523,Maps to,Mapped from,1970-01-01,2099-12-31,
Calculated Thyroxine (T4) Index|Blood|Chemistry,2000051089,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50896,1970-01-01,2099-12-31,,3000551,Maps to,Mapped from,1970-01-01,2099-12-31,
Cancer Antigen 27.29|Blood|Chemistry,2000051090,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50898,1970-01-01,2099-12-31,,3013520,Maps to,Mapped from,1970-01-01,2099-12-31,
Carbamazepine|Blood|Chemistry,2000051091,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50899,1970-01-01,2099-12-31,,3028639,Maps to,Mapped from,1970-01-01,2099-12-31,
Carcinoembyronic Antigen (CEA)|Blood|Chemistry,2000051092,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50900,1970-01-01,2099-12-31,,3003785,Maps to,Mapped from,1970-01-01,2099-12-31,
Centromere|Blood|Chemistry,2000051093,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50901,1970-01-01,2099-12-31,,3014825,Maps to,Mapped from,1970-01-01,2099-12-31,
Chloride|Blood|Chemistry,2000051094,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50902,1970-01-01,2099-12-31,,3014576,Maps to,Mapped from,1970-01-01,2099-12-31,
Cholesterol Ratio (Total/HDL)|Blood|Chemistry,2000051095,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50903,1970-01-01,2099-12-31,,3011163,Maps to,Mapped from,1970-01-01,2099-12-31,
"Cholesterol, HDL|Blood|Chemistry",2000051096,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50904,1970-01-01,2099-12-31,,3007070,Maps to,Mapped from,1970-01-01,2099-12-31,
"Cholesterol, LDL, Calculated|Blood|Chemistry",2000051097,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50905,1970-01-01,2099-12-31,,3028288,Maps to,Mapped from,1970-01-01,2099-12-31,
"Cholesterol, LDL, Measured|Blood|Chemistry",2000051098,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50906,1970-01-01,2099-12-31,,3009966,Maps to,Mapped from,1970-01-01,2099-12-31,
"Cholesterol, Total|Blood|Chemistry",2000051099,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50907,1970-01-01,2099-12-31,,3027114,Maps to,Mapped from,1970-01-01,2099-12-31,
CK-MB Index|Blood|Chemistry,2000051100,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50908,1970-01-01,2099-12-31,,3048863,Maps to,Mapped from,1970-01-01,2099-12-31,
Cortisol|Blood|Chemistry,2000051101,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50909,1970-01-01,2099-12-31,,3009682,Maps to,Mapped from,1970-01-01,2099-12-31,
Creatine Kinase (CK)|Blood|Chemistry,2000051102,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50910,1970-01-01,2099-12-31,,3007220,Maps to,Mapped from,1970-01-01,2099-12-31,
"Creatine Kinase, MB Isoenzyme|Blood|Chemistry",2000051103,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50911,1970-01-01,2099-12-31,,3005785,Maps to,Mapped from,1970-01-01,2099-12-31,
Creatinine|Blood|Chemistry,2000051104,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50912,1970-01-01,2099-12-31,,3016723,Maps to,Mapped from,1970-01-01,2099-12-31,
Cryoglobulin|Blood|Chemistry,2000051105,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50913,1970-01-01,2099-12-31,,3021322,Maps to,Mapped from,1970-01-01,2099-12-31,
Cyclosporin|Blood|Chemistry,2000051106,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50914,1970-01-01,2099-12-31,,3010375,Maps to,Mapped from,1970-01-01,2099-12-31,
D-Dimer|Blood|Chemistry,2000051107,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50915,1970-01-01,2099-12-31,,3051714,Maps to,Mapped from,1970-01-01,2099-12-31,
DHEA-Sulfate|Blood|Chemistry,2000051108,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50916,1970-01-01,2099-12-31,,3015884,Maps to,Mapped from,1970-01-01,2099-12-31,
Digoxin|Blood|Chemistry,2000051109,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50917,1970-01-01,2099-12-31,,3011335,Maps to,Mapped from,1970-01-01,2099-12-31,
Double Stranded DNA|Blood|Chemistry,2000051110,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50918,1970-01-01,2099-12-31,,3012718,Maps to,Mapped from,1970-01-01,2099-12-31,
Estimated GFR (MDRD equation)|Blood|Chemistry,2000051111,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50920,1970-01-01,2099-12-31,,46236952,Maps to,Mapped from,1970-01-01,2099-12-31,
Estradiol|Blood|Chemistry,2000051112,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50921,1970-01-01,2099-12-31,,3025285,Maps to,Mapped from,1970-01-01,2099-12-31,
Ethanol|Blood|Chemistry,2000051113,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50922,1970-01-01,2099-12-31,,3025643,Maps to,Mapped from,1970-01-01,2099-12-31,
Ferritin|Blood|Chemistry,2000051114,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50924,1970-01-01,2099-12-31,,3001122,Maps to,Mapped from,1970-01-01,2099-12-31,
Folate|Blood|Chemistry,2000051115,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50925,1970-01-01,2099-12-31,,3036987,Maps to,Mapped from,1970-01-01,2099-12-31,
Follicle Stimulating Hormone|Blood|Chemistry,2000051116,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50926,1970-01-01,2099-12-31,,3023323,Maps to,Mapped from,1970-01-01,2099-12-31,
Gamma Glutamyltransferase|Blood|Chemistry,2000051117,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50927,1970-01-01,2099-12-31,,3026910,Maps to,Mapped from,1970-01-01,2099-12-31,
Gastrin|Blood|Chemistry,2000051118,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50928,1970-01-01,2099-12-31,,3009927,Maps to,Mapped from,1970-01-01,2099-12-31,
Gentamicin|Blood|Chemistry,2000051119,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50929,1970-01-01,2099-12-31,,3035510,Maps to,Mapped from,1970-01-01,2099-12-31,
Globulin|Blood|Chemistry,2000051120,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50930,1970-01-01,2099-12-31,,3021886,Maps to,Mapped from,1970-01-01,2099-12-31,
Glucose|Blood|Chemistry,2000051121,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50931,1970-01-01,2099-12-31,,3004501,Maps to,Mapped from,1970-01-01,2099-12-31,
Haptoglobin|Blood|Chemistry,2000051122,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50935,1970-01-01,2099-12-31,,3012336,Maps to,Mapped from,1970-01-01,2099-12-31,
"HCG, Maternal Screen|Blood|Chemistry",2000051123,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50936,1970-01-01,2099-12-31,,3018171,Maps to,Mapped from,1970-01-01,2099-12-31,
Hepatitis A Virus Antibody|Blood|Chemistry,2000051124,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50937,1970-01-01,2099-12-31,,3035456,Maps to,Mapped from,1970-01-01,2099-12-31,
Hepatitis A Virus IgM Antibody|Blood|Chemistry,2000051125,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50938,1970-01-01,2099-12-31,,3013327,Maps to,Mapped from,1970-01-01,2099-12-31,
"Hepatitis B Core Antibody, IgM|Blood|Chemistry",2000051126,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50939,1970-01-01,2099-12-31,,3013527,Maps to,Mapped from,1970-01-01,2099-12-31,
Hepatitis B Surface Antibody|Blood|Chemistry,2000051127,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50940,1970-01-01,2099-12-31,,3017797,Maps to,Mapped from,1970-01-01,2099-12-31,
Hepatitis B Surface Antigen|Blood|Chemistry,2000051128,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50941,1970-01-01,2099-12-31,,3019510,Maps to,Mapped from,1970-01-01,2099-12-31,
Hepatitis B Virus Core Antibody|Blood|Chemistry,2000051129,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50942,1970-01-01,2099-12-31,,3036282,Maps to,Mapped from,1970-01-01,2099-12-31,
Hepatitis C Virus Antibody|Blood|Chemistry,2000051130,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50943,1970-01-01,2099-12-31,,3013801,Maps to,Mapped from,1970-01-01,2099-12-31,
HIV Antibody|Blood|Chemistry,2000051131,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50944,1970-01-01,2099-12-31,,3037274,Maps to,Mapped from,1970-01-01,2099-12-31,
Homocysteine|Blood|Chemistry,2000051132,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50945,1970-01-01,2099-12-31,,3016724,Maps to,Mapped from,1970-01-01,2099-12-31,
Human Chorionic Gonadotropin|Blood|Chemistry,2000051133,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50946,1970-01-01,2099-12-31,,3018171,Maps to,Mapped from,1970-01-01,2099-12-31,
Immunofixation|Blood|Chemistry,2000051134,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50948,1970-01-01,2099-12-31,,3037756,Maps to,Mapped from,1970-01-01,2099-12-31,
