row_id,line_1,line_2,line_3
328,170,180,182
329,164,177,174
330,158,175,165
331,151,172,156
332,144,169,146
333,136,165,136
334,129,162,126
335,121,159,116
336,113,156,106
337,105,152,96
338,97,149,86
339,89,146,75
340,81,142,65
341,74,139,55
342,66,136,45
343,59,133,36
344,52,130,27
345,46,127,19
346,40,124,11
347,35,122,4
348,30,120,-1
349,26,118,-7
350,22,116,-13
351,18,114,-17
352,15,113,-21
353,12,112,-24
354,11,111,-27
355,9,110,-29
356,8,110,-30
357,7,109,-31
358,6,109,-31
359,6,109,-31
360,7,109,-30
361,7,109,-29
362,8,110,-28
363,9,110,-26
364,10,111,-24
365,12,112,-21
366,14,113,-19
367,15,113,-16
368,17,114,-13
369,19,115,-10
370,21,116,-7
371,23,117,-4
372,25,118,-1
373,27,119,1
374,29,120,4
375,31,122,7
376,33,123,9
377,35,124,12
378,36,125,15
379,38,127,17
380,39,128,19
381,41,129,21
382,42,130,23
383,43,132,25
384,44,133,26
385,45,134,28
386,45,136,29
387,46,137,30
388,46,138,30
389,47,139,31
390,47,140,31
391,47,140,32
392,47,141,32
393,47,142,32
394,47,142,33
395,47,143,33
396,47,144,33
397,47,144,34
398,48,145,34
399,48,145,34
400,48,146,35
401,49,147,36
402,49,147,36
403,49,148,37
404,50,149,38
405,51,151,38
406,52,152,40
407,54,154,41
408,56,157,43
409,58,160,45
410,60,165,47
411,63,171,50
412,67,177,52
413,71,185,55
414,75,193,58
415,79,202,61
416,83,211,64
417,87,221,67
418,91,231,70
419,95,241,73
420,99,251,76
421,103,261,79
422,107,271,83
423,112,282,87
424,116,293,91
425,121,304,95
426,126,315,100
427,130,325,105
428,134,334,109
429,138,341,114
430,141,346,117
431,143,349,120
432,145,349,122
433,145,348,122
434,144,344,121
435,142,337,119
436,139,328,117
437,135,318,113
438,131,306,109
439,126,294,105
440,121,282,100
441,116,269,96
442,111,257,92
443,106,245,87
444,101,233,83
445,96,222,78
446,90,211,74
447,85,201,69
448,80,192,65
449,75,183,60
450,70,175,56
451,65,168,52
452,60,161,48
453,56,154,44
454,52,148,41
455,48,142,37
456,44,137,31
457,41,132,32
458,38,127,30
459,35,123,28
460,33,119,27
461,31,115,26
462,30,112,25
463,29,109,24
464,28,107,24
465,28,105,25
466,28,103,25
467,28,102,26
468,29,101,27
469,29,100,28
470,30,100,29
471,31,99,31
472,32,99,32
473,33,98,30
474,33,98,31
475,34,97,34
476,34,97,35
477,35,96,35
478,35,96,35
479,35,96,34
480,34,96,34
481,34,96,30
482,33,96,29
483,33,96,30
484,32,96,28
485,31,96,26
486,30,96,24
487,28,96,22
488,27,96,20
489,26,97,17
490,25,98,16
491,26,99,15
492,27,102,16
493,29,105,18
494,33,109,23
495,39,115,40
496,48,121,43
497,61,127,62
498,78,133,89
499,101,137,123
500,129,140,164
