linksto,itemid,label,source_code,source_vocabulary_id,source_domain_id,source_concept_id,source_concept_name,target_vocabulary_id,target_domain_id,target_concept_id,target_concept_name,target_standard_concept
chartevents,220765,Intra Cranial Pressure,Intra Cranial Pressure,,,,,,,,,
chartevents,220799,ZSpecific Gravity (urine),ZSpecific Gravity (urine),,,,,,,,,
chartevents,222871,Mallampati classification (Intubation),Mallampati classification (Intubation),,,,,,,,,
chartevents,223059,Intubation - Details,Intubation - Details,,,,,,,,,
chartevents,223679,TCO2 (calc) Venous,TCO2 (calc) Venous,,,,,,,,,
chartevents,223751,Non-Invasive Blood Pressure Alarm - High,Non-Invasive Blood Pressure Alarm - High,,,,,,,,,
chartevents,223752,Non-Invasive Blood Pressure Alarm - Low,Non-Invasive Blood Pressure Alarm - Low,,,,,,,,,
chartevents,223753,Riker-SAS Scale,Riker-SAS Scale,,,,,,,,,
chartevents,223754,Risk for Falls,Risk for Falls,,,,,,,,,
chartevents,223758,Code Status,Code Status,,,,,,,,,
chartevents,223759,Precautions: Standard +,Precautions: Standard +,,,,,,,,,
chartevents,223760,Health Care Proxy,Health Care Proxy,,,,,,,,,
chartevents,223761,Temperature Fahrenheit,Temperature Fahrenheit,,,,,,,,,
chartevents,223762,Temperature Celsius,Temperature Celsius,,,,,,,,,
chartevents,223763,Bladder Pressure,Bladder Pressure,,,,,,,,,
chartevents,223764,Orthostatic HR lying,Orthostatic HR lying,,,,,,,,,
chartevents,223765,Orthostatic HR sitting,Orthostatic HR sitting,,,,,,,,,
chartevents,223766,Orthostatic BPs standing,Orthostatic BPs standing,,,,,,,,,
chartevents,223767,Intra Cranial Pressure Alarm - High,Intra Cranial Pressure Alarm - High,,,,,,,,,
chartevents,223768,Intra Cranial Pressure Alarm - Low,Intra Cranial Pressure Alarm - Low,,,,,,,,,
chartevents,223769,O2 Saturation Pulseoxymetry Alarm - High,O2 Saturation Pulseoxymetry Alarm - High,,,,,,,,,
chartevents,223770,O2 Saturation Pulseoxymetry Alarm - Low,O2 Saturation Pulseoxymetry Alarm - Low,,,,,,,,,
chartevents,223771,PCWP,PCWP,,,,,,,,,
chartevents,223772,SvO2,SvO2,,,,,,,,,
chartevents,223773,PA Line cm Mark,PA Line cm Mark,,,,,,,,,
chartevents,223775,VAD Beat Rate R,VAD Beat Rate R,,,,,,,,,
chartevents,223780,Daily Wake Up Deferred,Daily Wake Up Deferred,,,,,,,,,
chartevents,223781,Pain Present,Pain Present,,,,,,,,,
chartevents,223782,Pain Type,Pain Type,,,,,,,,,
chartevents,223783,Pain Location,Pain Location,,,,,,,,,
chartevents,223784,Pain Cause,Pain Cause,,,,,,,,,
chartevents,223791,Pain Level,Pain Level,,,,,,,,,
chartevents,223792,Pain Management,Pain Management,,,,,,,,,
chartevents,223794,Pain Level Acceptable,Pain Level Acceptable,,,,,,,,,
chartevents,223795,Pain Assessment Method,Pain Assessment Method,,,,,,,,,
chartevents,223796,Untoward Effect,Untoward Effect,,,,,,,,,
chartevents,223797,Sensory Level,Sensory Level,,,,,,,,,
chartevents,223800,Epidural Appearance,Epidural Appearance,,,,,,,,,
chartevents,223801,NMB Medication,NMB Medication,,,,,,,,,
chartevents,223802,Nerve Stimulated,Nerve Stimulated,,,,,,,,,
chartevents,223804,TOF Response/Twitch,TOF Response/Twitch,,,,,,,,,
chartevents,223805,Nausea and Vomiting (CIWA),Nausea and Vomiting (CIWA),,,,,,,,,
chartevents,223806,Tremor (CIWA),Tremor (CIWA),,,,,,,,,
chartevents,223810,Paroxysmal Sweats,Paroxysmal Sweats,,,,,,,,,
chartevents,223811,Anxiety,Anxiety,,,,,,,,,
chartevents,223814,Auditory Disturbance,Auditory Disturbance,,,,,,,,,
chartevents,223817,Agitation,Agitation,,,,,,,,,
chartevents,223818,Tactile Disturbances,Tactile Disturbances,,,,,,,,,
chartevents,223819,Visual Disturbances,Visual Disturbances,,,,,,,,,
chartevents,223820,Headache,Headache,,,,,,,,,
chartevents,223821,Orient/Clouding Sensory,Orient/Clouding Sensory,,,,,,,,,
chartevents,223823,Insomnia,Insomnia,,,,,,,,,
chartevents,223824,Seizure,Seizure,,,,,,,,,
chartevents,223825,Sustained Nystagmus,Sustained Nystagmus,,,,,,,,,
chartevents,223827,Ataxia,Ataxia,,,,,,,,,
chartevents,223828,Slurred Speech,Slurred Speech,,,,,,,,,
chartevents,223829,Drowsiness,Drowsiness,,,,,,,,,
chartevents,223830,PH (Arterial),PH (Arterial),,,,,,,,,
chartevents,223834,O2 Flow,O2 Flow,,,,,,,,,
chartevents,223835,Inspired O2 Fraction,Inspired O2 Fraction,,,,,,,,,
chartevents,223836,Airway Type,Airway Type,,,,,,,,,
chartevents,223837,ETT Size (ID),ETT Size (ID),,,,,,,,,
chartevents,223838,ETT Location,ETT Location,,,,,,,,,
chartevents,223840,ETT Re-taped,ETT Re-taped,,,,,,,,,
chartevents,223847,Passey Muir Valve in use,Passey Muir Valve in use,,,,,,,,,
chartevents,223848,Ventilator Type,Ventilator Type,,,,,,,,,
chartevents,223849,Ventilator Mode,Ventilator Mode,,,,,,,,,
chartevents,223851,Rate,Rate,,,,,,,,,
chartevents,223867,Additional Settings,Additional Settings,,,,,,,,,
chartevents,223870,Wean,Wean,,,,,,,,,
chartevents,223871,Physio,Physio,,,,,,,,,
chartevents,223872,Inspired Gas Temp.,Inspired Gas Temp.,,,,,,,,,
chartevents,223873,Paw High,Paw High,,,,,,,,,
chartevents,223874,Vti High,Vti High,,,,,,,,,
chartevents,223875,Fspn High,Fspn High,,,,,,,,,
chartevents,223876,Apnea Interval,Apnea Interval,,,,,,,,,
chartevents,223877,ZCath Lab Intake,ZCath Lab Intake,,,,,,,,,
chartevents,223878,ZOR Intake,ZOR Intake,,,,,,,,,
chartevents,223879,ZPACU Intake,ZPACU Intake,,,,,,,,,
chartevents,223880,ZFree Form Intake,ZFree Form Intake,,,,,,,,,
chartevents,223881,ZGU Irrigant Intake,ZGU Irrigant Intake,,,,,,,,,
chartevents,223898,Orientation,Orientation,,,,,,,,,
chartevents,223900,GCS - Verbal Response,GCS - Verbal Response,,,,,,,,,
chartevents,223901,GCS - Motor Response,GCS - Motor Response,,,,,,,,,
chartevents,223902,Speech,Speech,,,,,,,,,
chartevents,223903,Communication,Communication,,,,,,,,,
chartevents,223904,Gag Reflex,Gag Reflex,,,,,,,,,
chartevents,223905,Cough Reflex,Cough Reflex,,,,,,,,,
chartevents,223907,Pupil Size Right,Pupil Size Right,,,,,,,,,
chartevents,223910,Follows Commands,Follows Commands,,,,,,,,,
chartevents,223911,Spontaneous Movement,Spontaneous Movement,,,,,,,,,
chartevents,223916,Response to Stimuli (Type),Response to Stimuli (Type),,,,,,,,,
chartevents,223917,RU Strength/Movement,RU Strength/Movement,,,,,,,,,
chartevents,223918,RL Strength/Movement,RL Strength/Movement,,,,,,,,,
chartevents,223919,LU Strength/Movement,LU Strength/Movement,,,,,,,,,
chartevents,223920,LL Strength/Movement,LL Strength/Movement,,,,,,,,,
chartevents,223921,Neuro Symptoms,Neuro Symptoms,,,,,,,,,
chartevents,223923,Seizure Activity,Seizure Activity,,,,,,,,,
chartevents,223924,RLE Sensation,RLE Sensation,,,,,,,,,
chartevents,223925,Seizure Duration,Seizure Duration,,,,,,,,,
chartevents,223926,Neuro Drain #1 Type,Neuro Drain #1 Type,,,,,,,,,
chartevents,223930,Neuro Drain #1 Level,Neuro Drain #1 Level,,,,,,,,,
chartevents,223931,Neuro Drain #1 Status,Neuro Drain #1 Status,,,,,,,,,
chartevents,223932,Neuro Drain #1 Drainage,Neuro Drain #1 Drainage,,,,,,,,,
chartevents,223933,Heat Sounds,Heat Sounds,,,,,,,,,
chartevents,223934,Dorsal PedPulse R,Dorsal PedPulse R,,,,,,,,,
chartevents,223935,PostTib. Pulses R,PostTib. Pulses R,,,,,,,,,
chartevents,223936,Radial Pulse R,Radial Pulse R,,,,,,,,,
chartevents,223938,Ulnar Pulse R,Ulnar Pulse R,,,,,,,,,
chartevents,223939,Brachial Pulse R,Brachial Pulse R,,,,,,,,,
chartevents,223940,Femoral Pulse R,Femoral Pulse R,,,,,,,,,
chartevents,223941,Popliteal Pulse R,Popliteal Pulse R,,,,,,,,,
chartevents,223942,Graft/Flap Pulse,Graft/Flap Pulse,,,,,,,,,
chartevents,223943,Dorsal PedPulse L,Dorsal PedPulse L,,,,,,,,,
chartevents,223944,Brachial Pulse L,Brachial Pulse L,,,,,,,,,
chartevents,223945,Femoral Pulse L,Femoral Pulse L,,,,,,,,,
chartevents,223946,Popliteal Pulse L,Popliteal Pulse L,,,,,,,,,
chartevents,223947,PostTib. Pulses L,PostTib. Pulses L,,,,,,,,,
chartevents,223948,Radial Pulse L,Radial Pulse L,,,,,,,,,
chartevents,223949,Ulnar Pulse L,Ulnar Pulse L,,,,,,,,,
chartevents,223951,Capillary Refill R,Capillary Refill R,,,,,,,,,
chartevents,223952,Pericardial Drain Status,Pericardial Drain Status,,,,,,,,,
chartevents,223953,Pericardial Drain Drainage,Pericardial Drain Drainage,,,,,,,,,
chartevents,223954,Pericardial Drain Site,Pericardial Drain Site,,,,,,,,,
chartevents,223955,Temporary Pacemaker Type,Temporary Pacemaker Type,,,,,,,,,
chartevents,223956,Temporary Pacemaker Mode,Temporary Pacemaker Mode,,,,,,,,,
chartevents,223957,Pacer Rate,Pacer Rate,,,,,,,,,
chartevents,223958,Temporary Venticular Sens Threshold mV,Temporary Venticular Sens Threshold mV,,,,,,,,,
chartevents,223960,Temporary Venticular Stim Threshold mA,Temporary Venticular Stim Threshold mA,,,,,,,,,
chartevents,223961,Temporary Pacemaker Wire Condition,Temporary Pacemaker Wire Condition,,,,,,,,,
chartevents,223962,Temporary Pacemaker Wires Venticular,Temporary Pacemaker Wires Venticular,,,,,,,,,
chartevents,223963,Temporary Pacemaker Wires Ground,Temporary Pacemaker Wires Ground,,,,,,,,,
chartevents,223964,Transcutaneous Pacer,Transcutaneous Pacer,,,,,,,,,
chartevents,223966,Transcutaneous Pacer Placement,Transcutaneous Pacer Placement,,,,,,,,,
chartevents,223967,Angio Site # 1,Angio Site # 1,,,,,,,,,
chartevents,223968,Angio Appearance # 1,Angio Appearance # 1,,,,,,,,,
chartevents,223969,Transcutaneous Pacer Rate,Transcutaneous Pacer Rate,,,,,,,,,
chartevents,223970,Angio Dressing # 1,Angio Dressing # 1,,,,,,,,,
chartevents,223971,Angio Site # 2,Angio Site # 2,,,,,,,,,
chartevents,223972,Angio Appearance # 2,Angio Appearance # 2,,,,,,,,,
chartevents,223973,Angio Dressing # 2,Angio Dressing # 2,,,,,,,,,
chartevents,223976,RUE Color,RUE Color,,,,,,,,,
chartevents,223979,RLE Color,RLE Color,,,,,,,,,
chartevents,223982,LUE Color,LUE Color,,,,,,,,,
chartevents,223983,LLE Color,LLE Color,,,,,,,,,
chartevents,223985,Respiratory Pattern,Respiratory Pattern,,,,,,,,,
chartevents,223986,RUL Lung Sounds,RUL Lung Sounds,,,,,,,,,
chartevents,223987,RLL Lung Sounds,RLL Lung Sounds,,,,,,,,,
chartevents,223988,LUL Lung Sounds,LUL Lung Sounds,,,,,,,,,
chartevents,223989,LLL Lung Sounds,LLL Lung Sounds,,,,,,,,,
chartevents,223990,Respiratory Effort,Respiratory Effort,,,,,,,,,
chartevents,223991,Cough Effort,Cough Effort,,,,,,,,,
chartevents,223992,Cough Type,Cough Type,,,,,,,,,
chartevents,223993,Chest Tube Site # 1,Chest Tube Site # 1,,,,,,,,,
chartevents,223994,CT #1 Suction Amount,CT #1 Suction Amount,,,,,,,,,
chartevents,223995,CT #1 Fluctuate,CT #1 Fluctuate,,,,,,,,,
chartevents,223996,CT #1 Drainage,CT #1 Drainage,,,,,,,,,
chartevents,223997,CT #1 Dressing,CT #1 Dressing,,,,,,,,,
chartevents,223998,CT #1 Crepitus,CT #1 Crepitus,,,,,,,,,
chartevents,223999,Oral Cavity,Oral Cavity,,,,,,,,,
chartevents,224000,Nares R,Nares R,,,,,,,,,
chartevents,224001,Diet Type,Diet Type,,,,,,,,,
chartevents,224003,Abdominal Assessment,Abdominal Assessment,,,,,,,,,
chartevents,224004,Bowel Sounds,Bowel Sounds,,,,,,,,,
chartevents,224005,Flatus,Flatus,,,,,,,,,
chartevents,224006,Emesis Appearance,Emesis Appearance,,,,,,,,,
chartevents,224007,GI #1 Intub Site,GI #1 Intub Site,,,,,,,,,
chartevents,224009,GI #1 Tube Drainage,GI #1 Tube Drainage,,,,,,,,,
chartevents,224010,GI #1 Tube Place Check,GI #1 Tube Place Check,,,,,,,,,
chartevents,224011,Stool Consistency,Stool Consistency,,,,,,,,,
chartevents,224012,Stool Management,Stool Management,,,,,,,,,
chartevents,224013,Stool Guaiac,Stool Guaiac,,,,,,,,,
chartevents,224015,Urine Source,Urine Source,,,,,,,,,
chartevents,224016,Urine Color,Urine Color,,,,,,,,,
chartevents,224017,GU Catheter Size,GU Catheter Size,,,,,,,,,
chartevents,224019,Bladder Irrigation,Bladder Irrigation,,,,,,,,,
chartevents,224023,Support Systems,Support Systems,,,,,,,,,
chartevents,224024,Family Communication,Family Communication,,,,,,,,,
chartevents,224025,Spiritual Support,Spiritual Support,,,,,,,,,
chartevents,224026,Skin Integrity,Skin Integrity,,,,,,,,,
chartevents,224027,Skin Temperature,Skin Temperature,,,,,,,,,
chartevents,224028,Skin Color,Skin Color,,,,,,,,,
chartevents,224031,Edema Location,Edema Location,,,,,,,,,
chartevents,224032,Impaired Skin Site #1,Impaired Skin Site #1,,,,,,,,,
chartevents,224037,Impaired Skin Cleanse #1,Impaired Skin Cleanse #1,,,,,,,,,
chartevents,224038,Impaired Skin Treatment #1,Impaired Skin Treatment #1,,,,,,,,,
chartevents,224040,Incision Closure #1,Incision Closure #1,,,,,,,,,
chartevents,224041,Incision Drainage #1,Incision Drainage #1,,,,,,,,,
chartevents,224042,Incision Dressing #1,Incision Dressing #1,,,,,,,,,
chartevents,224043,Incision Cleansing #1,Incision Cleansing #1,,,,,,,,,
chartevents,224044,Incision Packing #1,Incision Packing #1,,,,,,,,,
chartevents,224054,Braden Sensory Perception,Braden Sensory Perception,,,,,,,,,
chartevents,224055,Braden Moisture,Braden Moisture,,,,,,,,,
chartevents,224056,Braden Activity,Braden Activity,,,,,,,,,
chartevents,224057,Braden Mobility,Braden Mobility,,,,,,,,,
chartevents,224058,Braden Nutrition,Braden Nutrition,,,,,,,,,
chartevents,224059,Braden Friction/Shear,Braden Friction/Shear,,,,,,,,,
chartevents,224061,Reason for Restraint (Behavioral)_V1,Reason for Restraint (Behavioral)_V1,,,,,,,,,
chartevents,224062,Less Restrictive Measures (Acute Med/Surgical),Less Restrictive Measures (Acute Med/Surgical),,,,,,,,,
chartevents,224063,Restraint Type,Restraint Type,,,,,,,,,
chartevents,224064,Restraint Location_V1,Restraint Location_V1,,,,,,,,,
chartevents,224065,Circulation/Skin Integrity,Circulation/Skin Integrity,,,,,,,,,
chartevents,224066,Position Change,Position Change,,,,,,,,,
chartevents,224067,Range of Motion,Range of Motion,,,,,,,,,
chartevents,224068,Restraints Evaluated_V1,Restraints Evaluated_V1,,,,,,,,,
chartevents,224069,Side Rails_V1,Side Rails_V1,,,,,,,,,
chartevents,224070,Sitter,Sitter,,,,,,,,,
chartevents,224072,Education Learner,Education Learner,,,,,,,,,
chartevents,224073,Education Topic,Education Topic,,,,,,,,,
chartevents,224075,Education Readiness,Education Readiness,,,,,,,,,
chartevents,224076,Education Barrier,Education Barrier,,,,,,,,,
chartevents,224077,Education Method,Education Method,,,,,,,,,
chartevents,224078,Education Handout,Education Handout,,,,,,,,,
chartevents,224079,Education Response,Education Response,,,,,,,,,
chartevents,224080,Head of Bed,Head of Bed,,,,,,,,,
chartevents,224082,Turn,Turn,,,,,,,,,
chartevents,224084,Activity,Activity,,,,,,,,,
chartevents,224085,Assistance Device,Assistance Device,,,,,,,,,
chartevents,224086,Activity Tolerance,Activity Tolerance,,,,,,,,,
chartevents,224087,Therapeutic Bed,Therapeutic Bed,,,,,,,,,
chartevents,224088,Pressure Reducing Device,Pressure Reducing Device,,,,,,,,,
chartevents,224089,Anti Embolic Device,Anti Embolic Device,,,,,,,,,
chartevents,224090,Knee Immobilizer Status,Knee Immobilizer Status,,,,,,,,,
chartevents,224091,Continuous Pressure Machine Status,Continuous Pressure Machine Status,,,,,,,,,
chartevents,224092,Range of Motion Location,Range of Motion Location,,,,,,,,,
chartevents,224093,Position,Position,,,,,,,,,
chartevents,224101,Chest PT R/L,Chest PT R/L,,,,,,,,,
chartevents,224105,Warming Device,Warming Device,,,,,,,,,
chartevents,224106,Cooling Device,Cooling Device,,,,,,,,,
chartevents,224109,Cervical Collar Type,Cervical Collar Type,,,,,,,,,
chartevents,224110,Cervical Collar Status,Cervical Collar Status,,,,,,,,,
chartevents,224112,Traction/Immobile #1,Traction/Immobile #1,,,,,,,,,
chartevents,224113,Traction/Immobile Location #1,Traction/Immobile Location #1,,,,,,,,,
chartevents,224114,PT Splint Location #1,PT Splint Location #1,,,,,,,,,
chartevents,224119,22 Gauge Site Appear,22 Gauge Site Appear,,,,,,,,,
chartevents,224121,22 Gauge Reason Discontinued,22 Gauge Reason Discontinued,,,,,,,,,
chartevents,224135,Dialysis Access Site,Dialysis Access Site,,,,,,,,,
chartevents,224139,Dialysis Site Appearance,Dialysis Site Appearance,,,,,,,,,
chartevents,224144,Blood Flow (ml/min),Blood Flow (ml/min),,,,,,,,,
chartevents,224145,Heparin Dose (per hour),Heparin Dose (per hour),,,,,,,,,
chartevents,224146,System Integrity,System Integrity,,,,,,,,,
chartevents,224149,Access Pressure,Access Pressure,,,,,,,,,
chartevents,224150,Filter Pressure,Filter Pressure,,,,,,,,,
chartevents,224151,Effluent Pressure,Effluent Pressure,,,,,,,,,
chartevents,224152,Return Pressure,Return Pressure,,,,,,,,,
chartevents,224153,Replacement Rate,Replacement Rate,,,,,,,,,
chartevents,224154,Dialysate Rate,Dialysate Rate,,,,,,,,,
chartevents,224161,Resp Alarm - High,Resp Alarm - High,,,,,,,,,
chartevents,224162,Resp Alarm - Low,Resp Alarm - Low,,,,,,,,,
chartevents,224166,Doppler BP,Doppler BP,,,,,,,,,
chartevents,224167,Manual Blood Pressure Systolic Left,Manual Blood Pressure Systolic Left,,,,,,,,,
chartevents,224168,Parameters Checked,Parameters Checked,,,,,,,,,
chartevents,224169,MDI #1 Puff,MDI #1 Puff,,,,,,,,,
chartevents,224170,MDI #1 Drug,MDI #1 Drug,,,,,,,,,
chartevents,224172,MDI #2 Puff,MDI #2 Puff,,,,,,,,,
chartevents,224173,MDI #2 Drug,MDI #2 Drug,,,,,,,,,
chartevents,224175,MDI #3 Puff,MDI #3 Puff,,,,,,,,,
chartevents,224176,MDI #3 Drug,MDI #3 Drug,,,,,,,,,
chartevents,224178,Small Volume Neb Dose #2,Small Volume Neb Dose #2,,,,,,,,,
chartevents,224181,Small Volume Neb Drug #1,Small Volume Neb Drug #1,,,,,,,,,
chartevents,224188,PICC Line Site Appear,PICC Line Site Appear,,,,,,,,,
chartevents,224191,Hourly Patient Fluid Removal,Hourly Patient Fluid Removal,,,,,,,,,
chartevents,224192,Pulsus Paradoxus,Pulsus Paradoxus,,,,,,,,,
chartevents,224226,Impaired Skin Wound Base #1,Impaired Skin Wound Base #1,,,,,,,,,
chartevents,224259,Impaired Skin Drainage #1,Impaired Skin Drainage #1,,,,,,,,,
chartevents,224281,Multi Lumen Site Appear,Multi Lumen Site Appear,,,,,,,,,
chartevents,224283,Multi Lumen Waveform Appear,Multi Lumen Waveform Appear,,,,,,,,,
chartevents,224289,Arterial line Site Appear,Arterial line Site Appear,,,,,,,,,
chartevents,224291,Arterial line Waveform Appear,Arterial line Waveform Appear,,,,,,,,,
chartevents,224297,Cordis/Introducer Site Appear,Cordis/Introducer Site Appear,,,,,,,,,
chartevents,224308,Capillary Refill L,Capillary Refill L,,,,,,,,,
chartevents,224309,Assisted Systole,Assisted Systole,,,,,,,,,
chartevents,224310,Augmented Diastole,Augmented Diastole,,,,,,,,,
chartevents,224311,BAEDP,BAEDP,,,,,,,,,
chartevents,224314,ABI Brachial BP R (Impella),ABI Brachial BP R (Impella),,,,,,,,,
chartevents,224315,ABI Brachial BP L,ABI Brachial BP L,,,,,,,,,
chartevents,224317,ABI Ankle BP R,ABI Ankle BP R,,,,,,,,,
chartevents,224318,ABI Ankle BP L (Impella),ABI Ankle BP L (Impella),,,,,,,,,
chartevents,224322,IABP Mean,IABP Mean,,,,,,,,,
chartevents,224327,PCA medication,PCA medication,,,,,,,,,
chartevents,224328,PCA dose,PCA dose,,,,,,,,,
chartevents,224329,PCA lockout (min),PCA lockout (min),,,,,,,,,
chartevents,224330,PCA 1 hour limit,PCA 1 hour limit,,,,,,,,,
chartevents,224331,PCA basal rate (mL/hour),PCA basal rate (mL/hour),,,,,,,,,
chartevents,224332,PCA inject,PCA inject,,,,,,,,,
chartevents,224336,Type of catheter (CVL),Type of catheter (CVL),,,,,,,,,
chartevents,224337,Insertion site (CVL),Insertion site (CVL),,,,,,,,,
chartevents,224339,Guidewire exchange (CVL),Guidewire exchange (CVL),,,,,,,,,
chartevents,224340,Side (CVL),Side (CVL),,,,,,,,,
chartevents,224341,Acuity (CVL),Acuity (CVL),,,,,,,,,
chartevents,224345,Barrier precautions in place (CVL),Barrier precautions in place (CVL),,,,,,,,,
chartevents,224347,Timeout performed by (CVL),Timeout performed by (CVL),,,,,,,,,
chartevents,224348,Patient identified correctly (CVL),Patient identified correctly (CVL),,,,,,,,,
chartevents,224349,Verification of (CVL),Verification of (CVL),,,,,,,,,
chartevents,224351,Number of attempts required to place line (CVL),Number of attempts required to place line (CVL),,,,,,,,,
chartevents,224359,QTc,QTc,,,,,,,,,
chartevents,224363,VAD Beat Rate L,VAD Beat Rate L,,,,,,,,,
chartevents,224366,Epidural Infusion Rate (mL/hr),Epidural Infusion Rate (mL/hr),,,,,,,,,
chartevents,224367,Epidural Total Dose (mL),Epidural Total Dose (mL),,,,,,,,,
chartevents,224368,Epidural Medication,Epidural Medication,,,,,,,,,
chartevents,224369,Sputum Consistency,Sputum Consistency,,,,,,,,,
